 ___ , 516, 521, 522, 523, 524, 525, 526, 527, 412, 413, 420, 431, 560, 3891, 565, 3894, 3895, 3896, 3897, 3893, 448, 453, 454, 456, 457, 375, 397, 466, 474, 349, 350, 479, 480, 356, 359, 361, 1523, 372, 373, 374, 605, 380, 381, 510
356, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 66, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
359, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 6392, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
361, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 522, x, x, x
1523, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 368, x, x, x, x, x, x, x, x, x, x, x, x, x
372, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 126, x, x, x, x
373, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 888, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
374, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 100
605, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 166, x, x
380, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 4110, x, x, x, x, x, x, x
381, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
510, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 730, x, x, x, x, x, x, x, x, x, x, x, x, x, x
